locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKDPPHH_03183	CDS	768				hypothetical protein
AOKDPPHH_03184	CDS	852	rhtA		COG5006	Threonine/homoserine exporter RhtA
AOKDPPHH_03185	CDS	492	decR		COG1522	DNA-binding transcriptional activator DecR
AOKDPPHH_03186	CDS	570				hypothetical protein
AOKDPPHH_03187	CDS	2160	fhuE		COG4773	FhuE receptor
AOKDPPHH_03188	CDS	2505	btuB_28			Vitamin B12 transporter BtuB
AOKDPPHH_03189	CDS	408	exbD_4		COG0848	Biopolymer transport protein ExbD
AOKDPPHH_03190	CDS	615				hypothetical protein
AOKDPPHH_03191	CDS	963				hypothetical protein
AOKDPPHH_03192	CDS	432				hypothetical protein
AOKDPPHH_03193	CDS	1221	cca		COG0617	Multifunctional CCA protein
AOKDPPHH_03194	CDS	921				hypothetical protein
AOKDPPHH_03195	CDS	297				hypothetical protein
AOKDPPHH_03196	CDS	921				hypothetical protein
AOKDPPHH_03197	CDS	225				hypothetical protein
AOKDPPHH_03198	CDS	2814				hypothetical protein
AOKDPPHH_03199	CDS	231				hypothetical protein
AOKDPPHH_03200	CDS	624				hypothetical protein
AOKDPPHH_03201	CDS	1278				hypothetical protein
AOKDPPHH_03202	CDS	1362	vgrG1_3	6.3.2.-		Actin cross-linking toxin VgrG1
AOKDPPHH_03203	CDS	369				hypothetical protein
AOKDPPHH_03204	CDS	690				hypothetical protein
AOKDPPHH_03205	CDS	327				hypothetical protein
AOKDPPHH_03206	CDS	438				hypothetical protein
AOKDPPHH_03207	CDS	1068				hypothetical protein
AOKDPPHH_03208	CDS	1149	agaAII	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
AOKDPPHH_03209	CDS	888	glmS_1	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
AOKDPPHH_03210	CDS	1101	cytR_3		COG1609	HTH-type transcriptional repressor CytR
AOKDPPHH_03211	CDS	1287	fucP_2		COG0738	L-fucose-proton symporter
AOKDPPHH_03212	CDS	642	glk_3	2.7.1.2		Glucokinase
AOKDPPHH_03213	CDS	432	glk_4	2.7.1.2	COG0837	Glucokinase
AOKDPPHH_03214	CDS	750	btuB_29			Vitamin B12 transporter BtuB
AOKDPPHH_03215	CDS	1908				hypothetical protein
AOKDPPHH_03216	CDS	1293	exoI	3.2.1.52	COG3525	Beta-hexosaminidase
AOKDPPHH_03217	CDS	1116				hypothetical protein
AOKDPPHH_03218	CDS	375				hypothetical protein
AOKDPPHH_03219	CDS	1086				hypothetical protein
AOKDPPHH_03220	CDS	738	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
AOKDPPHH_03221	CDS	486	folK_2	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
AOKDPPHH_03222	CDS	792				hypothetical protein
AOKDPPHH_03223	CDS	1512	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_03224	CDS	441	rcp1_2			Response regulator rcp1
AOKDPPHH_03225	CDS	1818	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
AOKDPPHH_03226	CDS	387	osmY		COG2823	Osmotically-inducible protein Y
AOKDPPHH_03227	CDS	1044	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
AOKDPPHH_03228	CDS	906		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
AOKDPPHH_03229	CDS	1101				hypothetical protein
AOKDPPHH_03230	CDS	717				hypothetical protein
AOKDPPHH_03231	CDS	2178	prc	3.4.21.102	COG0793	Tail-specific protease
AOKDPPHH_03232	CDS	1011	lipA	2.8.1.8	COG0320	Lipoyl synthase
AOKDPPHH_03233	CDS	711	lipB	2.3.1.181	COG0321	Octanoyltransferase
AOKDPPHH_03234	CDS	375				hypothetical protein
AOKDPPHH_03235	CDS	966				hypothetical protein
AOKDPPHH_03236	CDS	1218	dacC_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
AOKDPPHH_03237	CDS	1263	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
AOKDPPHH_03238	CDS	714	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
AOKDPPHH_03239	CDS	465				hypothetical protein
AOKDPPHH_03240	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
AOKDPPHH_03241	CDS	1968	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AOKDPPHH_03242	CDS	486	mreD		COG2891	Rod shape-determining protein MreD
AOKDPPHH_03243	CDS	1080				hypothetical protein
AOKDPPHH_03244	CDS	1047	mreB		COG1077	Cell shape-determining protein MreB
AOKDPPHH_03245	CDS	939	adoK	2.7.1.20	COG0524	Adenosine kinase
AOKDPPHH_03246	CDS	621	gph_2	3.1.3.18		Phosphoglycolate phosphatase
AOKDPPHH_03247	CDS	732				hypothetical protein
AOKDPPHH_03248	CDS	1929				hypothetical protein
AOKDPPHH_03249	CDS	486	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AOKDPPHH_03250	CDS	162	ubiE_2	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AOKDPPHH_03251	CDS	453	tadA_4	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
AOKDPPHH_03252	CDS	261				hypothetical protein
AOKDPPHH_03253	CDS	327				hypothetical protein
AOKDPPHH_03254	CDS	423				hypothetical protein
AOKDPPHH_03255	CDS	399	ttgI_2			Toluene efflux pump outer membrane protein TtgI
AOKDPPHH_03256	CDS	927	ttgC_2			Toluene efflux pump outer membrane protein TtgC
AOKDPPHH_03257	CDS	228	mexB		COG0841	Multidrug resistance protein MexB
AOKDPPHH_03258	CDS	294	acrB_3		COG0841	Multidrug efflux pump subunit AcrB
AOKDPPHH_03259	CDS	2649	acrB_4		COG0841	Multidrug efflux pump subunit AcrB
AOKDPPHH_03260	CDS	1071	ttgA			Toluene efflux pump periplasmic linker protein TtgA
AOKDPPHH_03261	CDS	660	ttgR			HTH-type transcriptional regulator TtgR
AOKDPPHH_03262	CDS	1374	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
AOKDPPHH_03263	CDS	552	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
AOKDPPHH_03264	CDS	873	xerC_2		COG4973	Tyrosine recombinase XerC
AOKDPPHH_03265	CDS	675				hypothetical protein
AOKDPPHH_03266	CDS	855	dcsC	5.1.1.19		O-ureido-serine racemase
AOKDPPHH_03267	CDS	300				hypothetical protein
AOKDPPHH_03268	CDS	423	ybaN		COG2832	Inner membrane protein YbaN
AOKDPPHH_03269	CDS	2202	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
AOKDPPHH_03270	CDS	1185	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
AOKDPPHH_03271	CDS	1734				hypothetical protein
AOKDPPHH_03272	CDS	372				hypothetical protein
AOKDPPHH_03273	CDS	321				hypothetical protein
AOKDPPHH_03274	CDS	603				hypothetical protein
AOKDPPHH_03275	CDS	690	metP		COG2011	Methionine import system permease protein MetP
AOKDPPHH_03276	CDS	1008	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AOKDPPHH_03277	CDS	858	cntI			Pseudopaline exporter CntI
AOKDPPHH_03278	CDS	483				hypothetical protein
AOKDPPHH_03279	CDS	1152				hypothetical protein
AOKDPPHH_03280	CDS	1128	xylB	1.1.1.90		Aryl-alcohol dehydrogenase
AOKDPPHH_03281	CDS	579	xylC_1	1.2.1.28		Benzaldehyde dehydrogenase [NAD(+)]
AOKDPPHH_03282	CDS	948	xylC_2	1.2.1.28		Benzaldehyde dehydrogenase [NAD(+)]
AOKDPPHH_03283	CDS	654				hypothetical protein
AOKDPPHH_03284	CDS	804	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AOKDPPHH_03285	CDS	1521	prlC	3.4.24.70	COG0339	Oligopeptidase A
AOKDPPHH_03286	CDS	471				hypothetical protein
AOKDPPHH_03287	CDS	405				hypothetical protein
AOKDPPHH_03288	CDS	1113	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
AOKDPPHH_03289	CDS	519	gloA	4.4.1.5		Lactoylglutathione lyase
AOKDPPHH_03290	CDS	429				hypothetical protein
AOKDPPHH_03291	CDS	432				hypothetical protein
AOKDPPHH_03292	CDS	1839	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
AOKDPPHH_03293	CDS	1278	macA_2		COG0845	Macrolide export protein MacA
AOKDPPHH_03294	CDS	723	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
AOKDPPHH_03295	CDS	1305				hypothetical protein
AOKDPPHH_03296	CDS	1617				hypothetical protein
AOKDPPHH_03297	CDS	1347	atoC_2		COG2204	Regulatory protein AtoC
AOKDPPHH_03298	CDS	1353	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
AOKDPPHH_03299	CDS	552				hypothetical protein
AOKDPPHH_03300	CDS	1368	glmU			Bifunctional protein GlmU
AOKDPPHH_03301	CDS	384				hypothetical protein
AOKDPPHH_03302	CDS	423	atpC		COG0355	ATP synthase epsilon chain
AOKDPPHH_03303	CDS	1407	atpD1	7.1.2.2		ATP synthase subunit beta 1
AOKDPPHH_03304	CDS	864	atpG		COG0224	ATP synthase gamma chain
AOKDPPHH_03305	CDS	1548	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
AOKDPPHH_03306	CDS	528	atpH_1		COG0712	ATP synthase subunit delta
AOKDPPHH_03307	CDS	522	atpF		COG0711	ATP synthase subunit b
AOKDPPHH_03308	CDS	306	atpH_2			ATP synthase subunit c
AOKDPPHH_03309	CDS	801	atpB		COG0356	ATP synthase subunit a
AOKDPPHH_03310	CDS	156				hypothetical protein
AOKDPPHH_03311	CDS	189				hypothetical protein
AOKDPPHH_03312	CDS	819				hypothetical protein
AOKDPPHH_03313	CDS	714				hypothetical protein
AOKDPPHH_03314	CDS	1809	sthA	1.6.1.1		Soluble pyridine nucleotide transhydrogenase
AOKDPPHH_03315	CDS	1713	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AOKDPPHH_03316	CDS	372				hypothetical protein
AOKDPPHH_03317	CDS	636				hypothetical protein
AOKDPPHH_03318	CDS	1233	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
AOKDPPHH_03319	CDS	285	eryB_2	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
AOKDPPHH_03320	CDS	1500	glpK	2.7.1.30		Glycerol kinase
AOKDPPHH_03321	CDS	795	metQ		COG1464	D-methionine-binding lipoprotein MetQ
AOKDPPHH_03322	CDS	972				hypothetical protein
AOKDPPHH_03323	CDS	429				hypothetical protein
AOKDPPHH_03324	CDS	777				hypothetical protein
AOKDPPHH_03325	CDS	912	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
AOKDPPHH_03326	CDS	324				hypothetical protein
AOKDPPHH_03327	CDS	444	cheB_2	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
AOKDPPHH_03328	CDS	987				hypothetical protein
AOKDPPHH_03329	CDS	258	estB_2	3.1.1.1	COG0400	Carboxylesterase 2
AOKDPPHH_03330	CDS	405				hypothetical protein
AOKDPPHH_03331	CDS	1926	opgH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
AOKDPPHH_03332	CDS	171				hypothetical protein
AOKDPPHH_03333	CDS	387				hypothetical protein
AOKDPPHH_03334	CDS	2541				hypothetical protein
AOKDPPHH_03335	CDS	741				hypothetical protein
AOKDPPHH_03336	CDS	288				hypothetical protein
AOKDPPHH_03337	CDS	351				hypothetical protein
AOKDPPHH_03338	CDS	897				hypothetical protein
AOKDPPHH_03339	CDS	2382		3.4.21.-		Extracellular serine protease
AOKDPPHH_03340	CDS	453				hypothetical protein
AOKDPPHH_03341	CDS	111				hypothetical protein
AOKDPPHH_03342	CDS	873				hypothetical protein
AOKDPPHH_03343	CDS	762	nei	3.2.2.-	COG0266	Endonuclease 8
AOKDPPHH_03344	CDS	771				hypothetical protein
AOKDPPHH_03345	CDS	474				hypothetical protein
AOKDPPHH_03346	CDS	339				hypothetical protein
AOKDPPHH_03347	CDS	453				hypothetical protein
AOKDPPHH_03348	CDS	429	bluF			Blue light- and temperature-regulated antirepressor BluF
AOKDPPHH_03349	CDS	495				hypothetical protein
AOKDPPHH_03350	CDS	729	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
AOKDPPHH_03351	CDS	195				hypothetical protein
AOKDPPHH_03352	CDS	486				hypothetical protein
AOKDPPHH_03353	CDS	126				hypothetical protein
AOKDPPHH_03354	CDS	573	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
AOKDPPHH_03355	CDS	642				hypothetical protein
AOKDPPHH_03356	CDS	804		1.-.-.-		putative oxidoreductase
AOKDPPHH_03357	CDS	408				hypothetical protein
AOKDPPHH_03358	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
AOKDPPHH_03359	CDS	618				hypothetical protein
AOKDPPHH_03360	CDS	378				hypothetical protein
AOKDPPHH_03361	CDS	630				hypothetical protein
AOKDPPHH_03362	CDS	1590	rhsC_2	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
AOKDPPHH_03363	CDS	2940				hypothetical protein
AOKDPPHH_03364	CDS	783	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AOKDPPHH_03365	CDS	327				hypothetical protein
AOKDPPHH_03366	CDS	936	pgrR_12			HTH-type transcriptional regulator PgrR
AOKDPPHH_03367	tRNA	76				tRNA-Met(cat)
AOKDPPHH_03368	CDS	615	yjjJ	2.-.-.-		Toxin YjjJ
AOKDPPHH_03369	CDS	1854	rpoD		COG0568	RNA polymerase sigma factor RpoD
AOKDPPHH_03370	CDS	441	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
AOKDPPHH_03371	CDS	921	lpxL_2	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
AOKDPPHH_03372	CDS	1113	ribA	3.5.4.25		GTP cyclohydrolase-2
AOKDPPHH_03373	CDS	501				hypothetical protein
AOKDPPHH_03374	CDS	1524				hypothetical protein
AOKDPPHH_03375	CDS	1056				hypothetical protein
AOKDPPHH_03376	CDS	417				hypothetical protein
AOKDPPHH_03377	CDS	390				hypothetical protein
AOKDPPHH_03378	CDS	1335				hypothetical protein
AOKDPPHH_03379	CDS	303				hypothetical protein
AOKDPPHH_03380	CDS	1392	arnT_2	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
AOKDPPHH_03381	CDS	1332	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
AOKDPPHH_03382	CDS	924	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
AOKDPPHH_03383	CDS	513	def1	3.5.1.88	COG0242	Peptide deformylase 1
AOKDPPHH_03384	CDS	1095				hypothetical protein
AOKDPPHH_03385	CDS	1128				hypothetical protein
AOKDPPHH_03386	CDS	474	smg			Protein Smg
AOKDPPHH_03387	CDS	552				hypothetical protein
AOKDPPHH_03388	CDS	933				hypothetical protein
AOKDPPHH_03389	CDS	2487	topA	5.6.2.1		DNA topoisomerase 1
AOKDPPHH_03390	CDS	591	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
AOKDPPHH_03391	CDS	234				hypothetical protein
AOKDPPHH_03392	CDS	444				hypothetical protein
AOKDPPHH_03393	CDS	723				hypothetical protein
AOKDPPHH_03394	CDS	777	gdh_4	1.1.1.16		Galactitol 2-dehydrogenase
AOKDPPHH_03395	CDS	213				hypothetical protein
AOKDPPHH_03396	CDS	777				hypothetical protein
AOKDPPHH_03397	CDS	1161	sppA	3.4.21.-	COG0616	Protease 4
AOKDPPHH_03398	CDS	1365	norM		COG0534	Multidrug resistance protein NorM
AOKDPPHH_03399	CDS	1569				hypothetical protein
AOKDPPHH_03400	CDS	2211	priA	3.6.4.-	COG1198	Primosomal protein N'
AOKDPPHH_03401	CDS	621	gstB	2.5.1.18	COG0625	Glutathione S-transferase GstB
AOKDPPHH_03402	CDS	795				hypothetical protein
AOKDPPHH_03403	CDS	1281	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
AOKDPPHH_03404	CDS	276				hypothetical protein
AOKDPPHH_03405	CDS	618				hypothetical protein
AOKDPPHH_03406	CDS	1002	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
AOKDPPHH_03407	CDS	261				hypothetical protein
AOKDPPHH_03408	CDS	357				hypothetical protein
AOKDPPHH_03409	CDS	735				hypothetical protein
AOKDPPHH_03410	CDS	540				hypothetical protein
AOKDPPHH_03411	CDS	1092				hypothetical protein
AOKDPPHH_03412	CDS	729				hypothetical protein
AOKDPPHH_03413	CDS	471				hypothetical protein
AOKDPPHH_03414	CDS	1650	groL_2		COG0459	60 kDa chaperonin
AOKDPPHH_03415	CDS	288	groS		COG0234	10 kDa chaperonin
AOKDPPHH_03416	CDS	1791				hypothetical protein
AOKDPPHH_03417	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
AOKDPPHH_03418	CDS	2376	dsbD_2	1.8.1.8		Thiol:disulfide interchange protein DsbD
AOKDPPHH_03419	CDS	567	resA_4			Thiol-disulfide oxidoreductase ResA
AOKDPPHH_03420	CDS	951				hypothetical protein
AOKDPPHH_03421	CDS	522				hypothetical protein
AOKDPPHH_03422	CDS	2106	btuB_30			Vitamin B12 transporter BtuB
AOKDPPHH_03423	CDS	183				hypothetical protein
AOKDPPHH_03424	CDS	2319				hypothetical protein
AOKDPPHH_03425	CDS	534	tap		COG0840	Methyl-accepting chemotaxis protein IV
AOKDPPHH_03426	CDS	2052				hypothetical protein
AOKDPPHH_03427	CDS	840	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
AOKDPPHH_03428	CDS	372				hypothetical protein
AOKDPPHH_03429	CDS	717				hypothetical protein
AOKDPPHH_03430	CDS	897	gcvA_2			Glycine cleavage system transcriptional activator
AOKDPPHH_03431	CDS	183				hypothetical protein
AOKDPPHH_03432	CDS	582				hypothetical protein
AOKDPPHH_03433	CDS	1551				hypothetical protein
AOKDPPHH_03434	CDS	789	dacC_2	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
AOKDPPHH_03435	CDS	594				hypothetical protein
AOKDPPHH_03436	CDS	597	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
AOKDPPHH_03437	CDS	498	btuB_31			Vitamin B12 transporter BtuB
AOKDPPHH_03438	CDS	1554	pfeA_4		COG4771	Ferric enterobactin receptor
AOKDPPHH_03439	CDS	93				hypothetical protein
AOKDPPHH_03440	CDS	735			COG2513	putative protein
AOKDPPHH_03441	CDS	735				hypothetical protein
AOKDPPHH_03442	CDS	444	aroQ1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
AOKDPPHH_03443	CDS	480	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
AOKDPPHH_03444	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
AOKDPPHH_03445	CDS	375				hypothetical protein
AOKDPPHH_03446	CDS	438				hypothetical protein
AOKDPPHH_03447	CDS	954	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
AOKDPPHH_03448	CDS	753				hypothetical protein
AOKDPPHH_03449	CDS	198	fis		COG2901	DNA-binding protein Fis
AOKDPPHH_03450	CDS	996				hypothetical protein
AOKDPPHH_03451	CDS	630				hypothetical protein
AOKDPPHH_03452	CDS	438				hypothetical protein
AOKDPPHH_03453	CDS	1335	ynbD		COG0671	putative protein YnbD
AOKDPPHH_03454	CDS	1293	ynbC_1		COG2267	putative protein YnbC
AOKDPPHH_03455	CDS	438	ynbC_2		COG2267	putative protein YnbC
AOKDPPHH_03456	CDS	618	ynbA		COG0558	Inner membrane protein YnbA
AOKDPPHH_03457	CDS	1584	purH		COG0138	Bifunctional purine biosynthesis protein PurH
AOKDPPHH_03458	CDS	1287	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
AOKDPPHH_03459	CDS	876	rpoH		COG0568	RNA polymerase sigma factor RpoH
AOKDPPHH_03460	CDS	714	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
AOKDPPHH_03461	CDS	843	rssB			Regulator of RpoS
AOKDPPHH_03462	CDS	948	ftsX		COG2177	Cell division protein FtsX
AOKDPPHH_03463	CDS	687	ftsE		COG2884	Cell division ATP-binding protein FtsE
AOKDPPHH_03464	CDS	1269	rhlB_1	3.6.4.13		ATP-dependent RNA helicase RhlB
AOKDPPHH_03465	CDS	435	rhlB_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
AOKDPPHH_03466	CDS	330	trxA		COG0526	Thioredoxin 1
AOKDPPHH_03467	CDS	1335	rho	3.6.4.-	COG1158	Transcription termination factor Rho
AOKDPPHH_03468	CDS	2532	nagZ_2	3.2.1.52		Beta-hexosaminidase
AOKDPPHH_03469	CDS	1008	ccpA_2		COG1609	Catabolite control protein A
AOKDPPHH_03470	CDS	1278	fucP_3		COG0738	L-fucose-proton symporter
AOKDPPHH_03471	CDS	2994	btuB_32			Vitamin B12 transporter BtuB
AOKDPPHH_03472	CDS	1017				hypothetical protein
AOKDPPHH_03473	CDS	1638				hypothetical protein
AOKDPPHH_03474	CDS	1731	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
AOKDPPHH_03475	CDS	360				hypothetical protein
AOKDPPHH_03476	CDS	417				hypothetical protein
AOKDPPHH_03477	CDS	549				hypothetical protein
AOKDPPHH_03478	CDS	966				hypothetical protein
AOKDPPHH_03479	CDS	2223	icd	1.1.1.42	COG2838	Isocitrate dehydrogenase [NADP]
AOKDPPHH_03480	CDS	507				hypothetical protein
AOKDPPHH_03481	CDS	294				hypothetical protein
AOKDPPHH_03482	CDS	315	queF_1	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
AOKDPPHH_03483	CDS	522	queF_2	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
AOKDPPHH_03484	CDS	1320	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
AOKDPPHH_03485	CDS	1242	mdtA_6			Multidrug resistance protein MdtA
AOKDPPHH_03486	CDS	3234	mdtB_4			Multidrug resistance protein MdtB
AOKDPPHH_03487	CDS	3156	mdtC_3			Multidrug resistance protein MdtC
AOKDPPHH_03488	CDS	2058	fcuA_1			Ferrichrome receptor FcuA
AOKDPPHH_03489	CDS	2181	yccS		COG1289	Inner membrane protein YccS
AOKDPPHH_03490	CDS	1890	lplT			Lysophospholipid transporter LplT
AOKDPPHH_03491	CDS	288				hypothetical protein
AOKDPPHH_03492	CDS	279				hypothetical protein
AOKDPPHH_03493	CDS	201				hypothetical protein
AOKDPPHH_03494	CDS	888				hypothetical protein
AOKDPPHH_03495	CDS	414	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
AOKDPPHH_03496	CDS	495				hypothetical protein
AOKDPPHH_03497	CDS	393	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
AOKDPPHH_03498	CDS	144				hypothetical protein
AOKDPPHH_03499	CDS	1020				hypothetical protein
AOKDPPHH_03500	CDS	618				hypothetical protein
AOKDPPHH_03501	CDS	1878	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_03502	CDS	1179	rcsC_13	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_03503	CDS	969	rcsC_14	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_03504	CDS	471	bfr_2	1.16.3.1	COG2193	Bacterioferritin
AOKDPPHH_03505	CDS	291				hypothetical protein
AOKDPPHH_03506	CDS	618	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
AOKDPPHH_03507	tRNA	77				tRNA-Met(cat)
AOKDPPHH_03508	tRNA	75				tRNA-Gln(ctg)
AOKDPPHH_03509	CDS	393	rpsI		COG0103	30S ribosomal protein S9
AOKDPPHH_03510	CDS	429	rplM		COG0102	50S ribosomal protein L13
AOKDPPHH_03511	CDS	645	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
AOKDPPHH_03512	CDS	321	gdx_2			Guanidinium exporter
AOKDPPHH_03513	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
AOKDPPHH_03514	CDS	666	clp		COG0664	CRP-like protein Clp
AOKDPPHH_03515	CDS	762				hypothetical protein
AOKDPPHH_03516	CDS	201				hypothetical protein
AOKDPPHH_03517	CDS	525				hypothetical protein
AOKDPPHH_03518	CDS	795	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
AOKDPPHH_03519	CDS	735	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
AOKDPPHH_03520	CDS	588	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
AOKDPPHH_03521	CDS	1476	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
AOKDPPHH_03522	CDS	222	yegS_1	2.7.1.-		lipid kinase YegS
AOKDPPHH_03523	CDS	735	yegS_2	2.7.1.-	COG1597	putative lipid kinase YegS
AOKDPPHH_03524	CDS	486				hypothetical protein
AOKDPPHH_03525	CDS	636	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
AOKDPPHH_03526	CDS	330	djlA			Co-chaperone protein DjlA
AOKDPPHH_03527	CDS	420	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
AOKDPPHH_03528	CDS	291				hypothetical protein
AOKDPPHH_03529	CDS	2829	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
AOKDPPHH_03530	CDS	378	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
AOKDPPHH_03531	CDS	417				hypothetical protein
AOKDPPHH_03532	CDS	1119	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
AOKDPPHH_03533	CDS	453	mnhE1		COG1863	Na(+)/H(+) antiporter subunit E1
AOKDPPHH_03534	CDS	285	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
AOKDPPHH_03535	CDS	390	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
AOKDPPHH_03536	CDS	261				hypothetical protein
AOKDPPHH_03537	CDS	756				hypothetical protein
AOKDPPHH_03538	CDS	657				hypothetical protein
AOKDPPHH_03539	CDS	525				hypothetical protein
AOKDPPHH_03540	CDS	1299	hmgA	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
AOKDPPHH_03541	CDS	1113	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
AOKDPPHH_03542	CDS	558				hypothetical protein
AOKDPPHH_03543	CDS	555				hypothetical protein
AOKDPPHH_03544	CDS	543				hypothetical protein
AOKDPPHH_03545	CDS	429				hypothetical protein
AOKDPPHH_03546	CDS	1500	dtpB		COG3104	Dipeptide and tripeptide permease B
AOKDPPHH_03547	CDS	969	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
AOKDPPHH_03548	CDS	1083	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
AOKDPPHH_03549	CDS	1068	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
AOKDPPHH_03550	CDS	354				hypothetical protein
